,id_product,product,brand,series,price,id_shop,location,storage,cpu,date,sold
156,136,Acer Aspire 3 Slim,Acer,aspire,5689000.0,trustitstore,Jakarta Selatan,256 GB,AMD,2021-01-15,12
157,137,Acer Aspire 5 A514-53,Acer,aspire,7399000.0,itgaleri,Tangerang Selatan,,,2021-01-15,14
158,138,Acer Ryzen 3-3250 8gb,Acer,aspire,7340000.0,trendshopcomm,Jakarta Utara,512 GB,AMD,2021-01-15,3
159,139,"Lenovo V14-14are 14""fhd Amd",Acer,aspire,8828000.0,wikigarageid-1,Jakarta Utara,256 GB,AMD,2021-01-15,3
160,140,Asus A412fa Intel Pentium,Acer,aspire,7129000.0,trendshopcomm,Jakarta Utara,512 GB,Intel,2021-01-15,4
161,141,Panasonic Touchscreen Murah Bergaransi,Acer,aspire,3700000.0,dnacom14,Jakarta Pusat,,,2021-01-15,16
162,142,Lenovo Slim 3 Athlon,Acer,aspire,6768000.0,trendshopcomm,Jakarta Utara,256 GB,AMD,2021-01-15,7
163,143,Acer Aspire 3 A314-22,Acer,aspire,6825000.0,omgits,Jakarta Selatan,256 GB,AMD,2021-01-15,7
164,144,Acer Aspire 5 A514-52g,Acer,aspire,11300000.0,mimomart,Jakarta Utara,1 TB,Intel,2021-01-15,12
165,145,Acer Aspire 3 A314-22,Acer,aspire,5299000.0,infonetmanggadua,Jakarta Pusat,256 GB,AMD,2021-01-15,2
166,147,Acer Aspire 3 Slim,Acer,aspire,6899000.0,hosanacomp,Jakarta Pusat,256 GB,AMD,2021-01-15,10
167,148,Acer - Aspire 3,Acer,aspire,4900000.0,fazzads,Jakarta Utara,,,2021-01-15,11
168,149,Acer Aspire 514-53g-52sr With,Acer,aspire,8746000.0,sofyankotakom,Jakarta Pusat,,Intel,2021-01-15,8
169,150,Acer Aspire 5 Magical,Acer,aspire,7799000.0,omgits,Jakarta Selatan,512 GB,Intel,2021-01-15,10
170,22,Acer Aspire 5 A514,Acer,aspire,7599000.0,janurtech,Jakarta Utara,512 GB,Intel,2021-01-15,2
171,151,Acer Aspire 3 Slim,Acer,aspire,5999000.0,auratechnology,Jakarta Pusat,256 GB,AMD,2021-01-15,11
172,152,Obrall Lenovo X240 Ci5,Acer,aspire,2950000.0,foxcomp,Jakarta Pusat,,Intel,2021-01-15,176
173,153,Hp 14s Dk1123au Dk1122au,Acer,aspire,6562000.0,distrilapid,Jakarta Pusat,512 GB,AMD,2021-01-15,4
174,58,Toshiba B551 Core I5,Acer,aspire,2549000.0,debbybatavia,Bekasi,,Intel,2021-01-15,127
175,154,Lenovo Thinkpad T440s Core,Acer,aspire,4600000.0,foxcomp,Jakarta Pusat,256 GB,Intel,2021-01-15,49
176,155,Promo Bekas Toshiba Portege,Acer,aspire,3899000.0,rakitanmantap,Jakarta Barat,256 GB,Intel,2021-01-15,31
177,156,Acer Aspire 3 A314,Acer,aspire,4599000.0,vegas-autolamp,Jakarta Utara,1 TB,AMD,2021-01-15,2
178,128,Acer Aspire 514-53g-52sr With,Acer,aspire,8745590.0,indri-treq,Jakarta Pusat,,Intel,2021-01-15,1
179,157,Acer Aspire 5 A514-53,Acer,aspire,7299000.0,inbcstore,Bekasi,512 GB,Intel,2021-01-15,4
180,158,Acer Aspire 3 A315-42,Acer,aspire,6550000.0,tamora-store,Kab. Deli Serdang,,AMD,2021-01-15,4
181,159,Acer Aspire 3 A314-32,Acer,aspire,5799000.0,zxcomputer,Jakarta Pusat,256 GB,Intel,2021-01-15,5
182,36,Acer - Aspire 5,Acer,aspire,7600000.0,fazzads,Jakarta Utara,,Intel,2021-01-15,2
